"Name","State","Notes","User","Tags","Created","Runtime","Sweep","architecture","batch_size","epochs","max_vocab_length","loss_function","optimizer","best_epoch","dense_units","dropout_rate","embed_dim","learning_rate","best_val_loss","f1","accuracy","precision","recall","loss","val_loss","val_accuracy","val_precision","val_recall"
"earnest-sweep-61","finished","-","jacobh0830","","2021-07-12T06:43:18.000Z","621","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","32","0.2","100","0.01","0.4941882193088531","0.7771825174713342","0.7370487100609584","0.7301821022898011","0.83064984787885","0.5015386939048767","0.4941882193088531","0.7576219439506531","0.7558359503746033","0.8279198408126831"
"warm-sweep-35","finished","-","jacobh0830","","2021-07-12T02:00:04.000Z","617","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","8","0.6","100","0.0001","0.5302048921585083","0.7767956334830701","0.7383697888161247","0.7342037983929875","0.8246333709363142","0.5721142292022705","0.5302048921585083","0.7295160293579102","0.7249428033828735","0.8210089802742004"
"daily-sweep-135","finished","-","jacobh0830","","2021-07-12T22:43:27.000Z","519","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","7","64","0.2","300","0.0001","0.5040035843849182","0.7765152811526747","0.7535244493932474","0.7774199074867226","0.7756127576658804","0.5073338747024536","0.5059260725975037","0.7486661672592163","0.7551020383834839","0.8054595589637756"
"lyric-sweep-115","finished","-","jacobh0830","","2021-07-12T20:00:46.000Z","486","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","7","32","0.8","200","0.0001","0.5184303522109985","0.7751719097764342","0.7445411138581162","0.753884922301554","0.7976959628072334","0.5497931241989136","0.5230631232261658","0.7316120266914368","0.7727189064025879","0.7271941900253296"
"helpful-sweep-220","finished","-","jacobh0830","","2021-07-13T10:38:22.000Z","514","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","128","0.6","200","0.0001","0.5102540850639343","0.7737533692722373","0.7465416045445109","0.7627794200684226","0.7850476874166752","0.5210303664207458","0.5102540850639343","0.7401867508888245","0.7526828646659851","0.7876641154289246"
"quiet-sweep-65","finished","-","jacobh0830","","2021-07-12T07:25:03.000Z","628","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","32","0.2","100","0.0001","0.5180420875549316","0.7735952535274467","0.7428992016909808","0.7527653793906462","0.7956107065941954","0.5291306972503662","0.5180420875549316","0.7345655560493469","0.7594192624092102","0.7591568827629089"
"easy-sweep-205","finished","-","jacobh0830","","2021-07-13T08:29:03.000Z","512","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","128","0.4","200","0.0001","0.5126329064369202","0.7733963354522895","0.7483911148017438","0.7691085494067138","0.777732198407001","0.5162347555160522","0.5126329064369202","0.7426638603210449","0.7353972792625427","0.8331030011177063"
"elated-sweep-110","finished","-","jacobh0830","","2021-07-12T19:21:54.000Z","443","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","32","0.8","100","0.0001","0.5310929417610168","0.7727929584866","0.738879347764546","0.7436083810005373","0.8043619457833384","0.5644887089729309","0.5310929417610168","0.7296112775802612","0.7334599494934082","0.8006219863891602"
"autumn-sweep-230","finished","-","jacobh0830","","2021-07-13T12:06:18.000Z","481","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","128","0.8","100","0.0001","0.5252964496612549","0.7722950819672132","0.7378602298677034","0.7419598702239582","0.8052165589854032","0.5457904934883118","0.5252964496612549","0.7285632491111755","0.7461886405944824","0.7695231437683105"
"stilted-sweep-116","finished","-","jacobh0830","","2021-07-12T20:08:53.000Z","522","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","7","32","0.8","300","0.01","0.5170682668685913","0.7713681048607319","0.7471832713684489","0.7702375677425952","0.7725019656103648","0.5681146383285522","0.5270015597343445","0.7384718060493469","0.7669766545295715","0.7551831603050232"
"peach-sweep-176","finished","-","jacobh0830","","2021-07-13T04:19:58.000Z","552","vvpkvg0a","LSTM","128","9","70000","binary_crossentropy","adam","8","64","0.8","300","0.01","0.5927016139030457","0.767769188385955","0.7375016513484439","0.7503916449086162","0.7859706696749051","0.6228137612342834","0.5927016139030457","0.7101752758026123","0.7781604528427124","0.6636143922805786"
