"Name","State","Notes","User","Tags","Created","Runtime","Sweep","architecture","batch_size","embedding_dimension","epochs","max_vocab_length","loss_function","optimizer","learning_rate","dense_units","dropout_rate","filters","kernel_size","pool_size","best_epoch","best_val_loss","loss","f1","accuracy","precision","recall","val_accuracy","val_loss","val_precision","val_recall"
"electric-sweep-15","finished","-","jacobh0830","","2021-07-13T19:14:53.000Z","227","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","64","0.2","128","5","3","8","0.4785369634628296","0.47427859902381897","0.8039947356197259","0.7610923434049862","0.7348296162119325","0.8875329026082794","0.7636242508888245","0.4785369634628296","0.7601888179779053","0.8346579074859619"
"quiet-sweep-60","finished","-","jacobh0830","","2021-07-13T22:10:52.000Z","273","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","64","0.6","256","5","5","8","0.4823378026485443","0.4743616282939911","0.8038728367767021","0.7572423424613585","0.7255587361004073","0.9011383447851502","0.7613376379013062","0.4823378026485443","0.7530445456504822","0.8439875841140747"
"cosmic-sweep-79","finished","-","jacobh0830","","2021-07-13T23:24:57.000Z","295","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","128","0.2","256","5","3","7","0.48014166951179504","0.4681001305580139","0.8036792181661397","0.7679808254854964","0.7541130989840871","0.8602194646702902","0.7660061120986938","0.4801713526248932","0.7453608512878418","0.8743953108787537"
"unique-sweep-59","finished","-","jacobh0830","","2021-07-13T22:05:12.000Z","339","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","64","0.6","256","5","3","7","0.4774067997932434","0.4762035310268402","0.803417207413286","0.7615830297997622","0.7373607540702657","0.8824735924520563","0.7600038051605225","0.4851885437965393","0.7734649777412415","0.7987214922904968"
"solar-sweep-135","finished","-","jacobh0830","","2021-07-14T03:24:09.000Z","275","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","256","0.2","128","5","3","8","0.47812867164611816","0.4749547243118286","0.8033790216553579","0.7544492045218638","0.7199620801733477","0.90865894096332","0.7651486396789551","0.47812867164611816","0.7617772221565247","0.8353490233421326"
"swift-sweep-40","finished","-","jacobh0830","","2021-07-13T20:50:18.000Z","270","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","64","0.4","256","5","5","5","0.4808633327484131","0.4699543118476868","0.8033102326236253","0.7627153830184761","0.7405537929045284","0.8776877585204936","0.7587652206420898","0.48898035287857056","0.7948207259178162","0.7582930326461792"
"hardy-sweep-155","finished","-","jacobh0830","","2021-07-14T04:51:57.000Z","284","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","256","0.4","128","5","3","5","0.48621341586112976","0.47720614075660706","0.8031488741845005","0.7602619510445959","0.7345654515562107","0.8858578607322326","0.7580030560493469","0.4865111410617829","0.7410926222801208","0.8624740839004517"
"autumn-sweep-134","finished","-","jacobh0830","","2021-07-14T03:19:52.000Z","256","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","256","0.2","128","3","5","8","0.4802342057228088","0.4760849177837372","0.8030481577500197","0.763432540056995","0.743050709467318","0.8735856151505829","0.7608612775802612","0.4802342057228088","0.7555347681045532","0.8372494578361511"
"rural-sweep-176","finished","-","jacobh0830","","2021-07-14T06:24:47.000Z","280","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","256","0.6","128","5","5","8","0.4845520555973053","0.4813688397407532","0.8029348822989911","0.7566950384056468","0.7261868554206874","0.897822445561139","0.7612423896789551","0.4845520555973053","0.7481850981712341","0.8546993732452393"
"golden-sweep-179","finished","-","jacobh0830","","2021-07-14T06:39:23.000Z","314","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","256","0.6","256","5","3","8","0.48227715492248535","0.4759064316749573","0.802912575454302","0.7639987166663521","0.7448824423909229","0.8707482993197279","0.7648627758026123","0.48227715492248535","0.7554632425308228","0.8481340408325195"
"dauntless-sweep-74","finished","-","jacobh0830","","2021-07-13T23:03:31.000Z","234","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","128","0.2","128","3","5","8","0.480463832616806","0.4736688733100891","0.802870619736289","0.7610168531904052","0.7371083924079579","0.8815164256657437","0.7611470818519592","0.480463832616806","0.7536724805831909","0.8420870900154114"
"iconic-sweep-120","finished","-","jacobh0830","","2021-07-14T02:20:30.000Z","292","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","128","0.6","256","5","5","8","0.48358526825904846","0.4743818938732147","0.8028638132295719","0.7609602355294695","0.7369774552104467","0.8816873483061566","0.7615281939506531","0.48358526825904846","0.746732771396637","0.8588458895683289"
"mild-sweep-38","finished","-","jacobh0830","","2021-07-13T20:40:36.000Z","249","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","64","0.4","256","3","5","7","0.4778236746788025","0.4682964086532593","0.8027876823338737","0.7703587672447959","0.7632754954233057","0.8466140224934194","0.7640053629875183","0.4833186864852905","0.7908979058265686","0.7776433825492859"
"astral-sweep-93","finished","-","jacobh0830","","2021-07-14T00:22:26.000Z","252","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","128","0.4","128","3","3","5","0.4866599440574646","0.4773935079574585","0.8026946249822097","0.7645271481684187","0.746822033898305","0.8676033227361296","0.7576219439506531","0.493962436914444","0.730070948600769","0.8892536163330078"
"glorious-sweep-174","finished","-","jacobh0830","","2021-07-14T06:15:33.000Z","271","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","256","0.6","128","3","5","7","0.4824797511100769","0.48097410798072815","0.8026430738440523","0.7655085209579708","0.7496439591739853","0.8637062865347144","0.7626714706420898","0.4828561544418335","0.7569758296012878","0.8389772176742554"
"splendid-sweep-100","finished","-","jacobh0830","","2021-07-14T00:53:53.000Z","278","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","128","0.4","256","5","5","6","0.4799727499485016","0.47015881538391113","0.8026340604765198","0.7629984713231547","0.7428363636363636","0.872901924588931","0.7634336948394775","0.48154300451278687","0.7401540279388428","0.8799239993095398"
"laced-sweep-180","finished","-","jacobh0830","","2021-07-14T06:44:38.000Z","308","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","256","0.6","256","5","5","5","0.4833528399467468","0.47525930404663086","0.8025944992836788","0.7633570498424141","0.7438860678223311","0.8713636208252145","0.7588605284690857","0.4845108389854431","0.7357070446014404","0.8781962394714355"
"pious-sweep-175","finished","-","jacobh0830","","2021-07-14T06:20:05.000Z","281","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","256","0.6","128","5","3","8","0.48338764905929565","0.4804610013961792","0.8025836575875486","0.7606205295638553","0.736720290310598","0.8813796875534133","0.7610518336296082","0.48338764905929565","0.746172308921814","0.8588458895683289"
"ancient-sweep-116","finished","-","jacobh0830","","2021-07-14T02:01:19.000Z","278","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","128","0.6","128","5","5","7","0.48417139053344727","0.4808855950832367","0.8023226537420532","0.7629229811085739","0.7433445108616417","0.8714661744094623","0.7603849172592163","0.4860742688179016","0.7485948801040649","0.8514167070388794"
"morning-sweep-113","finished","-","jacobh0830","","2021-07-14T01:47:43.000Z","265","k8e32ghs","CONV1D","128","300","9","70000","binary_crossentropy","adam","0.001","128","0.6","128","3","3","8","0.4811774492263794","0.4815067946910858","0.8021868787276342","0.7671504331251061","0.7553670098734865","0.8551943390421495","0.7636242508888245","0.4811774492263794","0.7624186873435974","0.8299930691719055"
